City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Avarua,CK,73.4,overcast clouds,-21.21,-159.78,Paradise Inn
5,Karratha,AU,70.32,few clouds,-20.74,116.85,ibis Styles Karratha
9,Rikitea,PF,73.54,scattered clouds,-23.12,-134.97,Pension Maro'i
17,Dingle,PH,76.6,clear sky,11.0,122.67,Camp Pasica
25,Gat,IL,78.01,clear sky,31.61,34.76,OlusHome
26,Alofi,NU,71.6,light rain,-19.06,-169.92,Taloa Heights
28,Saint-Philippe,RE,75.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
31,Vaini,TO,71.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Bengkulu,ID,77.27,light rain,-3.8,102.27,Grage Hotel Bengkulu
46,Manono,CD,77.32,light rain,-7.3,27.42,Hotel hewa bora
47,Kapaa,US,71.6,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
53,Tautira,PF,75.0,few clouds,-17.73,-149.15,Pension Oaoa
69,Namibe,AO,73.4,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
70,Castro,BR,78.49,light rain,-24.79,-50.01,CHACARA BAILLY
75,Guerrero Negro,MX,70.16,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
76,Omboue,GA,79.27,overcast clouds,-1.57,9.26,Hotel Olako
77,Sibolga,ID,77.36,light rain,1.74,98.78,Hotel Syariah CN Darussalam
80,Pyapon,MM,75.81,light rain,16.28,95.68,Aung Naing Thu Motel
81,Kaniama,CD,72.99,light rain,-7.57,24.18,
88,Quelimane,MZ,77.94,clear sky,-17.88,36.89,Hotel Flamingo
90,Claremore,US,73.99,overcast clouds,36.31,-95.62,Super 8 by Wyndham Claremore OK
92,Isangel,VU,75.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
93,Atuona,PF,76.82,broken clouds,-9.8,-139.03,Villa Enata
94,Tripoli,LY,76.03,clear sky,32.88,13.19,Al Waddan Hotel
107,Los Llanos De Aridane,ES,75.2,broken clouds,28.66,-17.92,Valle Aridane
121,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
126,Arona,ES,77.0,broken clouds,28.1,-16.68,Paradise Court
132,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
133,Ilhabela,BR,77.0,scattered clouds,-23.78,-45.36,Ilha Flat Hotel
134,Sembakung,ID,75.7,broken clouds,3.82,117.25,
141,Benjamin Constant,BR,75.2,light rain,-4.38,-70.03,CASA AVALIADA
146,Boyolangu,ID,75.87,light rain,-8.12,111.89,Yos ega cv
149,Lamar,US,75.0,overcast clouds,33.67,-95.58,Kings Inn Paris TX
151,Yulara,AU,78.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
155,Cabulay,PH,75.15,scattered clouds,16.75,121.5,May traveller's Inn
156,Vao,NC,73.26,few clouds,-22.67,167.48,Hotel Kou-Bugny
163,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
165,Antalaha,MG,75.63,overcast clouds,-14.9,50.28,Hotel Vitasoa
176,Haimen,CN,73.4,broken clouds,23.19,116.61,Jinghao Business Hotel
177,Camargo,MX,78.96,clear sky,27.67,-105.17,Hotel Santa Fe
180,Hualmay,PE,70.18,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
189,Luba,GQ,79.16,scattered clouds,3.46,8.55,
190,Ratnagiri,IN,79.57,clear sky,16.98,73.3,Hotel Landmark
191,Mount Isa,AU,77.0,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
213,Naze,JP,78.8,heavy intensity rain,28.37,129.48,奄美ポートタワーホテル
214,Guskhara,IN,77.72,broken clouds,23.5,87.75,Ananda Kuthi
215,Garut,ID,70.36,heavy intensity rain,-7.2,107.89,favehotel
226,Porto Torres,IT,73.4,scattered clouds,40.84,8.4,Hotel Elisa
227,Buluang,PH,79.12,overcast clouds,13.31,123.34,Enon Beach Resort
