City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Miguel Do Araguaia,BR,-13.28,-50.16,95.32,34,82,4.25,broken clouds
1,Mataura,NZ,-46.19,168.86,45.0,80,94,1.99,light rain
2,Busselton,AU,-33.65,115.33,54.0,64,0,12.17,clear sky
3,Shimoda,JP,34.67,138.95,55.99,79,97,1.99,light rain
4,Avarua,CK,-21.21,-159.78,73.4,88,94,5.82,overcast clouds
5,Karratha,AU,-20.74,116.85,70.32,65,16,14.97,few clouds
6,Palmer,US,42.16,-72.33,69.01,72,75,6.93,broken clouds
7,Beringovskiy,RU,63.05,179.32,38.89,83,23,10.56,few clouds
8,College,US,64.86,-147.8,23.0,85,90,1.12,overcast clouds
9,Rikitea,PF,-23.12,-134.97,73.54,68,40,8.7,scattered clouds
10,Barrow,US,71.29,-156.79,33.8,86,90,14.99,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,51.8,57,90,18.34,overcast clouds
12,Port Lincoln,AU,-34.73,135.87,57.13,80,54,15.48,light rain
13,Jamestown,US,42.1,-79.24,64.99,88,75,14.99,broken clouds
14,Hilo,US,19.73,-155.09,69.8,64,1,6.93,clear sky
15,Groa,NO,62.65,8.72,39.2,80,75,5.82,broken clouds
16,Geraldton,AU,-28.77,114.6,60.8,77,75,9.17,broken clouds
17,Dingle,PH,11.0,122.67,76.6,90,10,7.07,clear sky
18,Ribeira Grande,PT,38.52,-28.7,66.2,55,40,4.7,scattered clouds
19,Panzhihua,CN,26.59,101.71,54.05,78,96,0.81,overcast clouds
20,Jizan,SA,17.33,42.67,89.6,59,0,11.41,clear sky
21,Bam,IR,29.11,58.36,61.48,21,0,7.0,clear sky
22,Rubtsovsk,RU,51.5,81.25,51.85,40,0,24.11,clear sky
23,Bucerias,MX,20.75,-105.33,88.0,66,5,2.42,clear sky
24,Cape Town,ZA,-33.93,18.42,64.99,63,0,16.11,clear sky
25,Gat,IL,31.61,34.76,78.01,74,0,13.76,clear sky
26,Alofi,NU,-19.06,-169.92,71.6,100,99,16.11,light rain
27,Comodoro Rivadavia,AR,-45.87,-67.5,57.2,67,75,11.41,light rain
28,Saint-Philippe,RE,-21.36,55.77,75.2,69,37,18.34,scattered clouds
29,Saskylakh,RU,71.92,114.08,10.22,94,91,4.52,overcast clouds
30,Bluff,NZ,-46.6,168.33,45.0,80,99,1.99,overcast clouds
31,Vaini,TO,-21.2,-175.2,71.6,83,75,5.82,broken clouds
32,Tacuati,PY,-23.45,-56.58,98.74,25,48,2.98,scattered clouds
33,Mount Gambier,AU,-37.83,140.77,44.6,100,28,3.36,scattered clouds
34,Yunyang,CN,33.45,112.71,60.01,46,5,2.57,light rain
35,Qaanaaq,GL,77.48,-69.36,19.8,80,81,7.54,broken clouds
36,Cabo San Lucas,MX,22.89,-109.91,88.0,48,5,3.36,clear sky
37,Bengkulu,ID,-3.8,102.27,77.27,87,100,4.63,light rain
38,Punta Arenas,CL,-53.15,-70.92,48.0,49,90,16.11,overcast clouds
39,Hobart,AU,-42.88,147.33,51.8,93,75,2.28,broken clouds
40,Leh,IN,34.17,77.58,40.44,47,0,4.09,clear sky
41,Deep River,CA,46.1,-77.5,45.0,100,90,5.82,overcast clouds
42,Tazovskiy,RU,67.47,78.7,19.76,98,100,11.36,light snow
43,Lincoln,US,40.8,-96.67,46.99,70,90,8.05,overcast clouds
44,Sao Felix Do Xingu,BR,-6.64,-51.99,102.13,25,38,6.42,scattered clouds
45,Mackenzie,CA,55.3,-123.17,24.8,53,90,5.48,overcast clouds
46,Manono,CD,-7.3,27.42,77.32,72,18,1.9,light rain
47,Kapaa,US,22.08,-159.32,71.6,88,20,6.93,few clouds
48,Albany,US,42.6,-73.97,69.01,80,70,1.99,broken clouds
49,Pitkyaranta,RU,61.57,31.48,35.98,83,100,9.69,overcast clouds
50,Port Alfred,ZA,-33.59,26.89,67.39,75,0,18.07,clear sky
51,Khatanga,RU,71.97,102.5,1.04,94,55,2.62,broken clouds
52,Klaksvik,FO,62.23,-6.59,41.0,75,46,9.17,light rain
53,Tautira,PF,-17.73,-149.15,75.0,83,20,3.36,few clouds
54,Raudeberg,NO,61.99,5.14,44.01,92,100,16.58,light rain
55,Nikolskoye,RU,59.7,30.79,37.4,86,90,8.95,light rain
56,Itoman,JP,26.12,127.67,80.6,94,75,3.36,shower rain
57,Rawson,AR,-43.3,-65.1,65.46,32,94,25.9,overcast clouds
58,Yellowknife,CA,62.46,-114.35,21.99,92,75,10.29,broken clouds
59,New Norfolk,AU,-42.78,147.06,51.8,93,90,4.7,overcast clouds
60,Carnarvon,AU,-24.87,113.63,66.2,68,40,18.34,scattered clouds
61,Narsaq,GL,60.92,-46.05,32.0,89,90,4.7,light snow
62,Coquimbo,CL,-29.95,-71.34,57.2,76,75,6.93,broken clouds
63,Torbay,CA,47.67,-52.73,57.0,82,75,11.41,broken clouds
64,Butaritari,KI,3.07,172.79,82.0,69,88,5.82,overcast clouds
65,Tanout,NE,14.97,8.89,96.51,9,0,18.81,clear sky
66,Sivaki,RU,52.63,126.75,26.62,98,100,15.59,snow
67,Tuktoyaktuk,CA,69.45,-133.04,23.0,85,90,13.87,light snow
68,Severo-Kurilsk,RU,50.68,156.12,40.75,74,63,19.95,broken clouds
69,Namibe,AO,-15.2,12.15,73.4,78,90,12.75,overcast clouds
